Date,3m pnl,3m sharpe
2000-01-03,,
2000-01-04,,
2000-01-05,,
2000-01-06,,
2000-01-07,,
2000-01-10,,
2000-01-11,,
2000-01-12,,
2000-01-13,,
2000-01-14,,
2000-01-17,,
2000-01-18,,
2000-01-19,,
2000-01-20,,
2000-01-21,,
2000-01-24,,
2000-01-25,,
2000-01-26,,
2000-01-27,,
2000-01-28,,
2000-01-31,,
2000-02-01,,
2000-02-02,,
2000-02-03,,
2000-02-04,,
2000-02-07,,
2000-02-08,,
2000-02-09,,
2000-02-10,,
2000-02-11,,
2000-02-14,,
2000-02-15,,
2000-02-16,,
2000-02-17,,
2000-02-18,,
2000-02-21,,
2000-02-22,,
2000-02-23,,
2000-02-24,,
2000-02-25,,
2000-02-28,,
2000-02-29,,
2000-03-01,,
2000-03-02,,
2000-03-03,,
2000-03-06,,
2000-03-07,,
2000-03-08,,
2000-03-09,,
2000-03-10,,
2000-03-13,,
2000-03-14,,
2000-03-15,,
2000-03-16,,
2000-03-17,,
2000-03-20,,
2000-03-21,,
2000-03-22,,
2000-03-23,,
2000-03-24,,
2000-03-27,,
2000-03-28,,
2000-03-29,,
2000-03-30,,
2000-03-31,0.0,
2000-04-03,0.0,
2000-04-04,0.0,
2000-04-05,0.0,
2000-04-06,0.0,
2000-04-07,0.0,
2000-04-10,0.0,
2000-04-11,0.0,
2000-04-12,0.0,
2000-04-13,0.0,
2000-04-14,0.0,
2000-04-17,0.0,
2000-04-18,0.0,
2000-04-19,0.0,
2000-04-20,0.0,
2000-04-21,0.0,
2000-04-24,0.0,
2000-04-25,0.0,
2000-04-26,0.0,
2000-04-27,0.0,
2000-04-28,0.0,
2000-05-01,0.0,
2000-05-02,0.0001900917723269088,1.9999999999999998
2000-05-03,0.00015921278979939482,1.6493681848977133
2000-05-04,-0.0003611396944858785,-1.2959411327286536
2000-05-05,-0.0007023158625802449,-2.159239336529833
2000-05-08,-0.00015629607599347683,-0.36503738733354735
2000-05-09,-0.00046033919030332533,-1.0140904174752519
2000-05-10,-0.0003859050738942616,-0.8467290627674352
2000-05-11,-0.0007810256287065412,-1.5761232200223139
2000-05-12,-0.0005718561914988055,-1.1263427498319487
2000-05-15,-0.001168829808501007,-1.992266724974165
2000-05-16,-0.0013724240266851156,-2.31092048770965
2000-05-17,-0.0014530869657617734,-2.4441047454294447
2000-05-18,-0.0017451739677547629,-2.863344509572819
2000-05-19,-0.0023177982883732435,-3.4720191845584267
2000-05-22,-0.002424536143867728,-3.6281858688160002
2000-05-23,-0.002965419679869236,-4.154651191817205
2000-05-24,-0.002756429169731683,-3.8034624717992775
2000-05-25,-0.0034389341545403027,-4.343110969052234
2000-05-26,-0.0022212988114664557,-2.1883480282028858
2000-05-29,-0.002507568075825608,-2.451973226747767
2000-05-30,-0.0028652448932716275,-2.7688536935758594
2000-05-31,-0.0029077311456332925,-2.8105665829752815
2000-06-01,-0.0028449078018668054,-2.7467470474389373
2000-06-02,-0.0025585797130568285,-2.439941333362049
2000-06-05,-0.0028212185004713236,-2.6758469379203196
2000-06-06,-0.003063447720827153,-2.8934773245324203
2000-06-07,-0.002456582772044145,-2.2172522279639155
2000-06-08,-0.0020967599448080735,-1.862918203376216
2000-06-09,-0.0019519533173100762,-1.729072545878322
2000-06-12,-0.0010060952788444489,-0.8180703362266958
2000-06-13,0.000301325736694495,0.21577724116890845
2000-06-14,-6.713849539909526e-05,-0.047653982966149415
2000-06-15,-0.0007482102912580503,-0.516248317807225
2000-06-16,-0.0010978092159409818,-0.7523748201576063
2000-06-19,-0.002090591748096856,-1.358863794385487
2000-06-20,-0.0008009781281678834,-0.4783536113558325
2000-06-21,-0.000590633871519628,-0.3519575201448181
2000-06-22,-0.0007154705566924019,-0.42609635410515273
2000-06-23,-0.0005592324822556972,-0.3326379857182469
2000-06-26,8.847201504622863e-06,0.005186669671453439
2000-06-27,-0.00013207633491612761,-0.07736361173929551
2000-06-28,-0.00011210119773967426,-0.065661834683827
2000-06-29,-0.0005205885545905976,-0.30278743944045766
2000-06-30,0.00032696373486972605,0.18454290116227287
2000-07-03,0.0012457876129922764,0.6808693304700438
2000-07-04,0.0004752277294147725,0.25388401559628265
2000-07-05,-0.0022820723470256188,-0.9807171800797461
2000-07-06,-0.002008904729597369,-0.8614544301947994
2000-07-07,-0.0016828514614420607,-0.7195431507197884
2000-07-10,-0.001957654970078186,-0.8358762801579511
2000-07-11,-0.0017129844052199852,-0.7301631390388434
2000-07-12,-0.0006066269392859392,-0.251354174235589
2000-07-13,0.0009064801948166808,0.3581998967178566
2000-07-14,0.0018043568694158755,0.7023769188483553
2000-07-17,0.0009387858176390306,0.36003693647823987
2000-07-18,0.0015386696908534143,0.5864218618296425
2000-07-19,0.0011492019632437353,0.4366379565858519
2000-07-20,0.0009270307390686953,0.35186037991602975
2000-07-21,-0.001259797100234195,-0.4412119099858409
2000-07-24,-0.0018667838451814204,-0.6503670566435907
2000-07-25,-0.0023585593711535177,-0.8190517625026296
2000-07-26,-0.002720517354926205,-0.9432657258757171
2000-07-27,-0.003427493751808908,-1.1806152382164496
2000-07-28,-0.004489572625426843,-1.5237025193417515
2000-07-31,-0.004276484964395385,-1.4498123065256157
2000-08-01,-0.003966213730641208,-1.3396766486973257
2000-08-02,-0.0031253199275452013,-1.0444078178357707
2000-08-03,-0.001815360165347622,-0.6027973946623764
2000-08-04,-0.0002757187837327992,-0.08984738039207339
2000-08-07,-0.0013651114383794467,-0.4450257404885776
2000-08-08,0.0009277496652447889,0.2877627599707589
2000-08-09,0.003547713642548897,1.0161103736154153
2000-08-10,0.004210049951311732,1.2078737167332267
2000-08-11,0.004138508195567307,1.1875420867938002
2000-08-14,0.005663013842283376,1.6203625994485857
2000-08-15,0.006097528689074138,1.745902257054958
